,Linear Regression,Decision Tree,Random Forest,GBr
Mean Absolute Error,0.38148390919589487,1.3957650000000013,0.7616374500000049,1.6812477422685348
Mean Squared Error,0.24073725336164675,5.065246620000015,1.7799892920180174,5.099514462821028
Root Mean Squared Error,0.49064982763845616,2.2506102772359355,1.3341623934206874,2.2582104558302416
R^2 Score,0.9999962997090348,0.9999221438059847,0.999972640386133,0.9999216170865534
